Year,Month    ,Volume,Value (Kshs Millions)
2015,February,"297,018",1870334
2015,January,"210,940",2167376
2014,December,"260,441",2280159
2014,November,"212,340",2022806
2014,October,"237,027",2398961
2014,September,"223,227",2548957
2014,August,"206,937",2076530
2014,July,"214,091",2188862
2014,June,"198,052",2132887
2014,May,"209,019",2187709
2014,April,"200,151",2046620
2014,March,"202,035",1920406
2014,February,"181,123",1853305
2014,January,"180,897",1904013
2013,December,"180,926",1904603
2013,November,"176,330",1982011
2013,October,"185,920",2300706
2013,September,"165,175",1948919
2013,August,"164,650",2020546
2013,July,"185,773",2109433
2013,June,"152,310",1711803
2013,May,"181,045",1868735
2013,April,"162,432",2010659
2013,March,"140,781",1630838
2013,February,"144,248",1548394
2013,January,"138,297",1632331
2012,December,"142,867",1627431
2012,November,"137,975",1819579
2012,October,"157,020",1899675
2012,September,"130,874",1738832
2012,August,"135,243",1637004
2012,July,"134,391",1560938
2012,June,"127,147",1693432
2012,May,"137,135",1610126
2012,April,"115,514",1528600
2012,March,"125,739",1638150
2012,February,"116,990",1546480
2012,January,"107,230",1579320
2011,December,"117,916",1562080
2011,November,"112,923",1816270
2011,October,"113,658",2004110
2011,September,"118,798",1729950
2011,August,"110,498",2007040
2011,July,"103,338",2151280
2011,June,"107,063",2617340
2011,May,"103,112",1867910
2011,April,"88,168",1727570
2011,March,"103,986",1801550
2011,February,"84,448",1288840
2011,January,"77,625",1319870
2010,December,"92,592",1400960
2010,November,"85,968",1430130
2010,October,"76,415",1375620
2010,September,"82,770",1256470
2010,August,"70,771",1280470
2010,July,"75,289",1425810
2010,June,"79,760",1500990
2010,May,"72,588",1587240
2010,April,"69,634",1436310
2010,March,"77,058",1694230
2010,February,"65,010",1458480
2010,January,"56,862",1254020
2009,December,"66,916",1454000
2009,November,"56,900",1429960
2009,October,"55,440",1480730
2009,September,"24,552",1198240
2009,August,"23,001",1127100
2009,July,"25,650",1184970
2009,June,"21,977",1031560
2009,May,"24,024",1064250
2009,April,"22,485",107235
2009,March,"23,752",1234920
2009,February,"20,710",1236480
2009,January,"25,330",1375950
2008,December,"24,131",1293360
2008,November,"22,718",1225150
2008,October,"23,635",1343930
2008,September,"23,494",1367430
2008,August,"20,593",1327200
2008,July,"24,599",1863959
2008,June,"22,387",2600813
2008,May,"19,730",1895025
2008,April,"24,684",1219919
2008,March,"20,920",890747
2008,February,"23,278",985324
2008,January,"23,773",1256387
2007,December,"14,563",944752
2007,November,"19,613",1161160
2007,October,"16,638",930309
2007,September,"14,770",850650
2007,August,"17,527",927949
2007,July,"14,633",843916
2007,June,"13,924",682494
2007,May,"15,070",692503
2007,April,"13,349",673100
2007,March,"14,402",667776
2007,February,"12,864",621032
2007,January,"12,960",603794
2006,December,"12,782",698928
2006,November,"12,927",715570
2006,October,"11,720",606135
2006,September,"11,744",571402
2006,August,"11,863",575771
2006,July,"11,859",820498
2006,June,"12,360",839151
2006,May,"13,487",1115310
2006,April,"10,484",632740
2006,March,"11,951",742922
2006,February,"10,696",620315
2006,January,"10,575",624525
2005,December,"10,733",615394
2005,November,"9,715",558206
2005,October,"9,522",576966
2005,September,"11,729",639421
2005,August,"8,999",496250
